Service discovery failed DEVICE:zxc [3 Mar 2011 22:37:16 GMT]
07 cancled election initiation [3 Mar 2011 22:37:16 GMT]
Service discovery failed DEVICE:zxc [4 Mar 2011 00:32:10 GMT]
07 cancled election initiation [4 Mar 2011 02:25:41 GMT]
Device or resource busy DEVICE:zxc [4 Mar 2011 02:38:00 GMT]
Service discovery failed DEVICE:zxc [4 Mar 2011 04:48:48 GMT]
Service discovery failed DEVICE:zxc [4 Mar 2011 05:46:31 GMT]
Service discovery failed DEVICE:07 [4 Mar 2011 07:34:44 GMT]
Service discovery failed DEVICE:07 [4 Mar 2011 08:41:01 GMT]
Service discovery failed DEVICE:zxc [4 Mar 2011 08:50:10 GMT]
07 cancled election initiation [4 Mar 2011 10:26:46 GMT]
Device or resource busy DEVICE:zxc [4 Mar 2011 10:33:41 GMT]
Service discovery failed DEVICE:07 [4 Mar 2011 11:52:13 GMT]
Service discovery failed DEVICE:07 [4 Mar 2011 11:58:52 GMT]
Service discovery failed DEVICE:zxc [4 Mar 2011 13:01:12 GMT]
07 cancled election initiation [4 Mar 2011 13:07:50 GMT]
Device or resource busy DEVICE:zxc [4 Mar 2011 13:13:06 GMT]
07 cancled election initiation [4 Mar 2011 13:13:06 GMT]
Device or resource busy DEVICE:zxc [4 Mar 2011 13:28:19 GMT]
Service discovery failed DEVICE:07 [4 Mar 2011 13:42:07 GMT]
Service discovery failed DEVICE:zxc [4 Mar 2011 14:25:35 GMT]
07 cancled election initiation [4 Mar 2011 14:32:12 GMT]
Device or resource busy DEVICE:zxc [4 Mar 2011 14:43:49 GMT]
Service discovery failed DEVICE:07 [4 Mar 2011 15:34:49 GMT]
Service discovery failed DEVICE:07 [4 Mar 2011 15:41:30 GMT]
Service discovery failed DEVICE:07 [4 Mar 2011 15:48:35 GMT]
Service discovery failed DEVICE:07 [4 Mar 2011 15:55:16 GMT]
Service discovery failed DEVICE:07 [4 Mar 2011 16:02:20 GMT]
Service discovery failed DEVICE:zxc [4 Mar 2011 16:48:20 GMT]
07 cancled election initiation [4 Mar 2011 16:55:00 GMT]
Device or resource busy DEVICE:zxc [4 Mar 2011 17:00:17 GMT]
07 cancled election initiation [4 Mar 2011 17:00:17 GMT]
zxc cancled election initiation [4 Mar 2011 17:31:30 GMT]
Service discovery failed DEVICE:zxc [4 Mar 2011 17:54:41 GMT]
07 cancled election initiation [4 Mar 2011 18:01:18 GMT]
Device or resource busy DEVICE:zxc [4 Mar 2011 18:06:36 GMT]
07 cancled election initiation [4 Mar 2011 18:06:37 GMT]
Device or resource busy DEVICE:zxc [4 Mar 2011 18:21:50 GMT]
Service discovery failed DEVICE:zxc [4 Mar 2011 19:21:51 GMT]
Service discovery failed DEVICE:zxc [4 Mar 2011 19:28:33 GMT]
07 cancled election initiation [4 Mar 2011 19:28:33 GMT]
07 cancled election initiation [4 Mar 2011 19:33:23 GMT]
