00:07:49, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, true, fresh
00:07:49, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, fresh
00:08:10, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, true, update
00:09:12, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
00:09:12, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:09:12, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:10:53, 00:23:D4:6A:F5:43, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
00:10:53, 00:23:D4:6A:F5:43, 00:23:D4:6A:F5:43, wifi_network, false, fresh
00:10:53, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, wifi_network, true, update
00:10:53, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, wifi_network, true, update
00:10:54, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
00:10:54, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:10:54, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:10:54, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:10:54, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, wifi_network, false, fresh
00:20:47, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, update
00:33:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
00:33:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
00:33:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
00:33:23, 00:23:D4:6A:F5:43, 00:23:D4:6A:87:DE, wifi_network, false, fresh
00:33:23, 00:23:D4:6A:F5:43, 00:23:D4:69:79:1C, wifi_network, false, fresh
